Gmean,Baselines
0.468191092,All
0.496354601,All
0.690713965,All
0.658332744,All
0.339790073,All
0.545774974,All
0.478300454,All
0.655710843,All
0.634907484,All
0.702659525,All
0.569494797,All
0.57000855,All
0.309282649,All
0.495330866,All
0.564163395,All
0.426928133,All
0.489631128,All
0.404658934,All
0.453693779,All
0.471974935,All
0.526864415,All
0.587372089,All
0.497686507,All
0.633938082,All
0.511563183,All
0.377081384,All
0.626382949,All
0.444546563,All
0.317224709,All
0.641072687,All
0.497853004,All
0.539157305,All
0.617906317,All
0.452723425,All
0.406741292,All
0.264888735,All
0.489115492,All
0.401789718,All
0.511495755,All
0.456453108,All
0.452,All
0.522,All
0.524,All
0.441,All
0.505,All
0.429,All
0.274,All
0.545,All
0.665,All
0.633,All
0.729,All
0.608,All
0.777,All
0.509,All
0.566,All
0.601,All
0.442325868,Boruta
0.48315633,Boruta
0.667666141,Boruta
0.858798798,Boruta
0.306995166,Boruta
0.877720104,Boruta
0.87004988,Boruta
0.645553109,Boruta
0.58739406,Boruta
0.639908399,Boruta
0.64262385,Boruta
0.547749278,Boruta
0.310469919,Boruta
0.720986038,Boruta
0.583470754,Boruta
0.453459045,Boruta
0.487195378,Boruta
0.404658934,Boruta
0.444039615,Boruta
0.45895523,Boruta
0.926864415,Boruta
0.607424661,Boruta
0.499832643,Boruta
0.635941029,Boruta
0.511563183,Boruta
0.352088915,Boruta
0.626714281,Boruta
0.939970639,Boruta
0.330940678,Boruta
0.599105657,Boruta
0.497677178,Boruta
0.539862178,Boruta
0.913751577,Boruta
0.381332755,Boruta
0.885222689,Boruta
0.274739242,Boruta
0.521568613,Boruta
0.508121298,Boruta
0.680927889,Boruta
0.62048524,Boruta
0.45,Boruta
0.519,Boruta
0.524,Boruta
0.437,Boruta
0.463,Boruta
0.429,Boruta
0.273,Boruta
0.592,Boruta
0.579,Boruta
0.649,Boruta
0.709,Boruta
0.592,Boruta
0.761,Boruta
0.527,Boruta
0.561,Boruta
0.606,Boruta
0.821462327,Cfs
0.892335236,Cfs
0.863280576,Cfs
0.878118733,Cfs
0.798584987,Cfs
0.854014489,Cfs
0.878404875,Cfs
0.838727133,Cfs
0.88300709,Cfs
0.91539804,Cfs
0.946720032,Cfs
0.292972841,Cfs
0.266649865,Cfs
0.750333754,Cfs
0.943534524,Cfs
0.925092037,Cfs
0.939405797,Cfs
0.837470227,Cfs
0.837470227,Cfs
0.869074951,Cfs
0.951993838,Cfs
0.919256149,Cfs
0.925413932,Cfs
0.922950994,Cfs
0.95189785,Cfs
0.948359747,Cfs
0.93311502,Cfs
0.966041622,Cfs
0.813758902,Cfs
0.850550326,Cfs
0.928972231,Cfs
0.939484401,Cfs
0.955368708,Cfs
0.916995007,Cfs
0.95316089,Cfs
0.820510452,Cfs
0.914086712,Cfs
0.86974969,Cfs
0.910587863,Cfs
0.907517958,Cfs
0.38,Cfs
0.425,Cfs
0.507,Cfs
0.865,Cfs
0.911,Cfs
0.546,Cfs
0.749,Cfs
0.495,Cfs
0.85,Cfs
0.796,Cfs
0.872,Cfs
0.943,Cfs
0.867,Cfs
0.291,Cfs
0.533,Cfs
0.514,Cfs
0.356614516,ckloc
0.380515339,ckloc
0.598666752,ckloc
0.577872636,ckloc
0.3086067,ckloc
0.5078056,ckloc
0.430004359,ckloc
0.554087526,ckloc
0.493341331,ckloc
0.543917636,ckloc
0.583914669,ckloc
0.534496406,ckloc
0.305356003,ckloc
0.396069413,ckloc
0.463510436,ckloc
0.37170585,ckloc
0.390075432,ckloc
0.323439651,ckloc
0.304172573,ckloc
0.231506982,ckloc
0.45360226,ckloc
0.505909016,ckloc
0.425247206,ckloc
0.57835619,ckloc
0.398200941,ckloc
0.303366181,ckloc
0.527176912,ckloc
0.49259573,ckloc
0.255131649,ckloc
0.520595572,ckloc
0.500133125,ckloc
0.536178122,ckloc
0.562539185,ckloc
0.345280423,ckloc
0.354482662,ckloc
0.228674001,ckloc
0.535705607,ckloc
0.495803835,ckloc
0.186771842,ckloc
0.235109298,ckloc
0.418,ckloc
0.492,ckloc
0.46,ckloc
0.429,ckloc
0.433,ckloc
0.326,ckloc
0.249,ckloc
0.436,ckloc
0.47,ckloc
0.554,ckloc
0.43,ckloc
0.487,ckloc
0.744,ckloc
0.498,ckloc
0.516,ckloc
0.525,ckloc
0.211104755,cll
0.473243717,cll
0.291448254,cll
0.492467768,cll
0.202818155,cll
0.424368027,cll
0.349860025,cll
0.389471837,cll
0.429149235,cll
0.487299513,cll
0.507364029,cll
0.511741348,cll
0.263442462,cll
0.363171635,cll
0.435764518,cll
0.293459854,cll
0.362602932,cll
0.273444938,cll
0.29241216,cll
0.173622336,cll
0.435706018,cll
0.412266622,cll
0.397128215,cll
0.5042445,cll
0.337832366,cll
0.217033702,cll
0.458465374,cll
0.309148567,cll
0.227020181,cll
0.51437633,cll
0.425479774,cll
0.442194679,cll
0.489853195,cll
0.279221731,cll
0.321059029,cll
0.219498502,cll
0.51669581,cll
0.300834551,cll
0.600387472,cll
0.593092568,cll
0.375,cll
0.489,cll
0.451,cll
0.335,cll
0.42,cll
0.304,cll
0.162,cll
0.344,cll
0.449,cll
0.485,cll
0.705,cll
0.441,cll
0.593,cll
0.462,cll
0.498,cll
0.459,cll
0.824676327,Confs
0.945620406,Confs
0.866793217,Confs
0.87331968,Confs
0.802955069,Confs
0.897090344,Confs
0.871301939,Confs
0.846564514,Confs
0.87875656,Confs
0.902775845,Confs
0.950007523,Confs
0.277444967,Confs
0.264008448,Confs
0.745971348,Confs
0.928289398,Confs
0.915794484,Confs
0.920630058,Confs
0.818115605,Confs
0.786551432,Confs
0.761523478,Confs
0.944224728,Confs
0.89073551,Confs
0.927311742,Confs
0.907948454,Confs
0.953109671,Confs
0.948986911,Confs
0.930067175,Confs
0.95649963,Confs
0.814728753,Confs
0.880370591,Confs
0.92468025,Confs
0.932382787,Confs
0.954009075,Confs
0.915948634,Confs
0.955227405,Confs
0.818798528,Confs
0.90200769,Confs
0.884896137,Confs
0.923992408,Confs
0.968854605,Confs
0.848,Confs
0.912,Confs
0.534,Confs
0.347,Confs
0.451,Confs
0.513,Confs
0.747,Confs
0.517,Confs
0.871,Confs
0.805,Confs
0.872,Confs
0.941,Confs
0.874,Confs
0.296,Confs
0.535,Confs
0.569,Confs
0.534,AutoSpearman
0.852,AutoSpearman
0.584,AutoSpearman
0.674,AutoSpearman
0.285,AutoSpearman
0.8,AutoSpearman
0.831,AutoSpearman
0.657,AutoSpearman
0.703,AutoSpearman
0.748,AutoSpearman
0.778,AutoSpearman
0.495,AutoSpearman
0.297,AutoSpearman
0.708,AutoSpearman
0.206,AutoSpearman
0.089,AutoSpearman
0.403,AutoSpearman
0.23,AutoSpearman
0.516,AutoSpearman
0.402,AutoSpearman
0.677,AutoSpearman
0.154,AutoSpearman
0.549,AutoSpearman
0.907948454,AutoSpearman
0.953109671,AutoSpearman
0.505,AutoSpearman
0.579,AutoSpearman
0.188,AutoSpearman
0.814728753,AutoSpearman
0.099,AutoSpearman
0.811,AutoSpearman
0.932382787,AutoSpearman
0.26,AutoSpearman
0.428,AutoSpearman
0.518,AutoSpearman
0.389,AutoSpearman
0.847,AutoSpearman
0.884896137,AutoSpearman
0.606,AutoSpearman
0.85,AutoSpearman
0.336,AutoSpearman
0.579,AutoSpearman
0.597,AutoSpearman
0.539,AutoSpearman
0.356,AutoSpearman
0.371,AutoSpearman
0.718,AutoSpearman
0.645,AutoSpearman
0.532,AutoSpearman
0.534,AutoSpearman
0.789,AutoSpearman
0.436,AutoSpearman
0.721,AutoSpearman
0.495,AutoSpearman
0.56,AutoSpearman
0.622,AutoSpearman
