Project,All,ckloc,cll,Confs,Boruta,Cfs,AutoSpearman
ant1.3,0.097,0.000,0.516,0.452,0.420,0.323,0.501
ant1.4,0.000,0.747,0.001,1.000,0.001,0.001,0.000
ant1.5,0.072,0.160,0.612,0.720,0.514,0.676,0.705
ant1.6,0.450,0.171,0.814,0.465,0.504,0.527,0.803
camel1.0,0.885,0.543,0.564,1.000,0.914,0.957,0.921
camel1.2,0.181,0.471,0.595,0.653,0.247,0.326,0.571
camel1.4,0.372,0.690,0.789,0.564,0.386,0.676,0.703
ivy1.1,0.000,0.690,0.000,0.300,0.001,0.000,0.501
ivy2.0,0.323,0.349,0.774,1.000,0.436,0.774,0.877
jedit3.2,0.294,0.399,0.388,0.329,0.276,0.364,0.311
jedit4.0,0.644,0.847,0.681,0.780,0.763,0.763,0.575
jedit4.1,0.065,0.593,0.617,0.000,0.185,0.209,0.603
jedit4.2,0.001,0.001,0.001,0.001,0.000,0.001,0.201
log4j1.0,0.795,0.795,0.795,0.836,0.795,0.795,0.755
log4j1.1,0.864,0.532,0.532,0.864,0.864,0.864,0.864
lucene2.0,0.750,0.817,0.817,0.005,0.700,0.005,0.767
lucene22,0.755,0.890,0.914,0.005,0.792,0.007,0.977
poi1.5,0.007,0.000,0.000,0.326,0.000,0.387,0.001
poi2.0,0.921,0.943,0.932,0.001,0.932,0.001,0.807
poi2.5,0.873,0.202,0.222,0.001,0.824,0.001,0.999
9,0.420,0.661,0.816,0.399,0.394,0.593,0.635
44,0.771,0.910,0.950,0.774,0.771,0.928,0.990
92,0.002,0.001,0.001,0.001,0.000,0.000,0.486
128,0.179,0.652,0.827,0.227,0.179,0.725,0.924
164,0.003,0.101,0.435,0.003,0.000,0.081,0.446
225,0.001,0.000,0.001,0.000,0.001,0.000,0.001
236,0.000,0.262,0.303,0.201,0.037,0.570,0.580
245,0.852,0.901,0.925,0.850,0.845,0.857,0.958
256,0.000,0.001,0.016,0.001,0.000,0.000,0.001
285,0.131,0.331,0.705,0.305,0.157,0.442,0.000
292,0.000,0.001,0.229,0.001,0.001,0.001,0.743
305,0.425,0.783,0.877,0.819,0.771,0.842,0.961
347,0.947,0.958,0.968,0.951,0.947,0.947,0.997
355,0.000,0.011,0.092,0.001,0.001,0.000,0.736
4,0.000,0.145,0.305,0.000,0.001,0.005,0.833
40,0.000,0.107,0.585,0.001,0.001,0.405,0.854
85,0.766,0.873,0.889,0.755,0.766,0.928,0.701
121,0.030,0.409,0.539,0.000,0.030,0.253,0.840
157,0.237,0.582,0.648,0.230,0.206,0.168,0.419
452,0.001,0.000,0.051,0.219,0.001,0.000,0.219
453,0.001,0.000,0.000,1.000,0.001,0.001,0.700
Synapse1.0,0.000,0.001,0.749,0.977,0.680,0.680,0.812
Synapse1.1,0.527,0.737,0.555,0.545,0.527,0.632,0.745
Velocity1.4,0.000,0.000,0.000,0.602,0.000,0.623,0.000
Velocity1.5,0.494,0.631,0.767,0.242,0.494,0.164,0.847
Xalan2.4,0.791,0.845,0.875,0.001,0.791,0.001,0.890
Xalan2.5,0.764,0.886,0.905,0.000,0.768,0.000,0.891
Xalan2.6,1.000,1.000,1.000,0.001,1.000,0.000,1.000
Xerces1.0,0.160,0.194,0.295,0.043,0.060,0.194,0.300
Xerces1.2,0.521,0.504,0.590,0.658,0.504,0.726,0.812
Xerces1.3,0.973,0.955,0.982,0.973,0.973,0.991,0.982
